SF,Pattern,query_number,Run,visual_name,p50
10,DB_Composite Model,1,1,Catalog Sales Quantity YoY,28257.9402923584
10,DB_Composite Model,1,2,Catalog Sales Quantity YoY,183.8371753692627
10,DB_Composite Model,1,3,Catalog Sales Quantity YoY,159.91473197937012
10,DB_Composite Model,2,1,Store Profit % Split by Category,319.7674751281738
10,DB_Composite Model,2,2,Store Profit % Split by Category,56.14948272705078
10,DB_Composite Model,2,3,Store Profit % Split by Category,63.60912322998047
10,DB_Composite Model,3,1,Slicer,216.04323387145996
10,DB_Composite Model,3,2,Slicer,45.931100845336914
10,DB_Composite Model,3,3,Slicer,50.91261863708496
10,DB_Composite Model,4,1,Catalog Revenue Ranked by Promotion,313.91072273254395
10,DB_Composite Model,4,2,Catalog Revenue Ranked by Promotion,87.05592155456543
10,DB_Composite Model,4,3,Catalog Revenue Ranked by Promotion,101.42040252685547
10,DB_Composite Model,5,1,Card,17322.68500328064
10,DB_Composite Model,5,2,Card,14265.892505645752
10,DB_Composite Model,5,3,Card,11602.832078933716
10,DB_Composite Model,6,1,Store Revenue Time Analysis,132.5244903564453
10,DB_Composite Model,6,2,Store Revenue Time Analysis,125.82778930664062
10,DB_Composite Model,6,3,Store Revenue Time Analysis,122.61319160461426
10,DB_Composite Model,7,1,Slicer,46.68617248535156
10,DB_Composite Model,7,2,Slicer,42.191505432128906
10,DB_Composite Model,7,3,Slicer,42.91701316833496
10,DB_Composite Model,8,1,Slicer,46.340227127075195
10,DB_Composite Model,8,2,Slicer,41.749000549316406
10,DB_Composite Model,8,3,Slicer,44.01803016662598
10,DB_Composite Model,9,1,Catalog Sales Quantity YoY,123.35586547851562
10,DB_Composite Model,9,2,Catalog Sales Quantity YoY,333.03380012512207
10,DB_Composite Model,9,3,Catalog Sales Quantity YoY,116.95671081542969
10,DB_Composite Model,10,1,Store Profit % Split by Category,2599.708080291748
10,DB_Composite Model,10,2,Store Profit % Split by Category,2772.7372646331787
10,DB_Composite Model,10,3,Store Profit % Split by Category,2021.8510627746582
10,DB_Composite Model,11,1,Slicer,45.40705680847168
10,DB_Composite Model,11,2,Slicer,51.86772346496582
10,DB_Composite Model,11,3,Slicer,46.09942436218262
10,DB_Composite Model,12,1,Catalog Revenue Ranked by Promotion,78.53245735168457
10,DB_Composite Model,12,2,Catalog Revenue Ranked by Promotion,76.22289657592773
10,DB_Composite Model,12,3,Catalog Revenue Ranked by Promotion,71.59161567687988
10,DB_Composite Model,13,1,Card,1823.1065273284912
10,DB_Composite Model,13,2,Card,1852.1461486816406
10,DB_Composite Model,13,3,Card,1910.5570316314697
10,DB_Composite Model,14,1,Store Revenue Time Analysis,3284.2838764190674
10,DB_Composite Model,14,2,Store Revenue Time Analysis,4277.045965194702
10,DB_Composite Model,14,3,Store Revenue Time Analysis,2338.3495807647705
10,DB_Composite Model,15,1,Slicer,63.02213668823242
10,DB_Composite Model,15,2,Slicer,46.94342613220215
10,DB_Composite Model,15,3,Slicer,43.9913272857666
10,DB_Composite Model,16,1,Slicer,58.53605270385742
10,DB_Composite Model,16,2,Slicer,46.7076301574707
10,DB_Composite Model,16,3,Slicer,43.55573654174805
10,DB_Composite Model,17,1,Slicer,46.94819450378418
10,DB_Composite Model,17,2,Slicer,45.803070068359375
10,DB_Composite Model,17,3,Slicer,43.23005676269531
10,DB_Composite Model,18,1,Slicer,45.56751251220703
10,DB_Composite Model,18,2,Slicer,47.73116111755371
10,DB_Composite Model,18,3,Slicer,43.251991271972656
10,DB_Composite Model,19,1,Catalog Sales Quantity YoY,2002.8257369995117
10,DB_Composite Model,19,2,Catalog Sales Quantity YoY,2141.9339179992676
10,DB_Composite Model,19,3,Catalog Sales Quantity YoY,1892.4787044525146
10,DB_Composite Model,20,1,Store Profit % Split by Category,1904.5228958129883
10,DB_Composite Model,20,2,Store Profit % Split by Category,1825.8376121520996
10,DB_Composite Model,20,3,Store Profit % Split by Category,1861.1950874328613
10,DB_Composite Model,21,1,Slicer,49.38793182373047
10,DB_Composite Model,21,2,Slicer,128.07917594909668
10,DB_Composite Model,21,3,Slicer,47.701120376586914
10,DB_Composite Model,22,1,Catalog Revenue Ranked by Promotion,1924.426794052124
10,DB_Composite Model,22,2,Catalog Revenue Ranked by Promotion,2362.9493713378906
10,DB_Composite Model,22,3,Catalog Revenue Ranked by Promotion,1856.3909530639648
10,DB_Composite Model,23,1,Card,1581.5153121948242
10,DB_Composite Model,23,2,Card,1761.7275714874268
10,DB_Composite Model,23,3,Card,1642.6172256469727
10,DB_Composite Model,24,1,Store Revenue Time Analysis,2005.5179595947266
10,DB_Composite Model,24,2,Store Revenue Time Analysis,4256.699562072754
10,DB_Composite Model,24,3,Store Revenue Time Analysis,2035.9864234924316
10,DL_Mirror,1,1,Catalog Sales Quantity YoY,9514.44411277771
10,DL_Mirror,1,2,Catalog Sales Quantity YoY,5636.35516166687
10,DL_Mirror,1,3,Catalog Sales Quantity YoY,443.5129165649414
10,DL_Mirror,2,1,Store Profit % Split by Category,3873.6159801483154
10,DL_Mirror,2,2,Store Profit % Split by Category,4209.815740585327
10,DL_Mirror,2,3,Store Profit % Split by Category,244.31681632995605
10,DL_Mirror,3,1,Slicer,186.05709075927734
10,DL_Mirror,3,2,Slicer,126.71446800231934
10,DL_Mirror,3,3,Slicer,51.58209800720215
10,DL_Mirror,4,1,Catalog Revenue Ranked by Promotion,1862.2119426727295
10,DL_Mirror,4,2,Catalog Revenue Ranked by Promotion,1934.9117279052734
10,DL_Mirror,4,3,Catalog Revenue Ranked by Promotion,205.4455280303955
10,DL_Mirror,5,1,Card,1218.141794204712
10,DL_Mirror,5,2,Card,1423.830270767212
10,DL_Mirror,5,3,Card,233.13379287719727
10,DL_Mirror,6,1,Store Revenue Time Analysis,3467.9975509643555
10,DL_Mirror,6,2,Store Revenue Time Analysis,4093.2633876800537
10,DL_Mirror,6,3,Store Revenue Time Analysis,1097.8610515594482
10,DL_Mirror,7,1,Slicer,47.76597023010254
10,DL_Mirror,7,2,Slicer,53.2991886138916
10,DL_Mirror,7,3,Slicer,53.39550971984863
10,DL_Mirror,8,1,Slicer,52.62184143066406
10,DL_Mirror,8,2,Slicer,56.63275718688965
10,DL_Mirror,8,3,Slicer,54.60476875305176
10,DL_Mirror,9,1,Catalog Sales Quantity YoY,337.1882438659668
10,DL_Mirror,9,2,Catalog Sales Quantity YoY,376.0247230529785
10,DL_Mirror,9,3,Catalog Sales Quantity YoY,329.7562599182129
10,DL_Mirror,10,1,Store Profit % Split by Category,217.36454963684082
10,DL_Mirror,10,2,Store Profit % Split by Category,223.69956970214844
10,DL_Mirror,10,3,Store Profit % Split by Category,195.80793380737305
10,DL_Mirror,11,1,Slicer,58.573007583618164
10,DL_Mirror,11,2,Slicer,53.88283729553223
